"MASTER","ENTIDAD","PRECIO","TIPOLOGIA","METODOLOGIA","DURACION","BOLSAEMP","TELEFONO","X4","X6","URLIMAGEN","NOMBREIMAGEN","WEB",
"Master in Cybersecurity (Presencial)","Next International Business School","16000.0","Master","Semipresencial","Madrid","Sin Datos",912669065,"Plantea tus dudas y otros usuarios podran responderte","['']","https://www.emagister.com/assets/es/logos/centro/id/117706/size/l.jpg","['l.jpg']","https://www.emagister.com/como-aprender-sobre-ciberseguridad-nivel-profesional-cursos-2908441.htm",
"Máster online Universitario en Seguridad de Tecnologías de la Información y las Telecomunicaciones","UNIVERSIDAD EUROPEA","Precio a consultar","Master oficial","Online","10 Meses","Sí",912669065,"Sabes que tres de cada cuatro proyectos que se realizan en Espa a de consultoria de sistemas esta relacionado con Seguridad  Es por eso que las empresas demandan cada vez mas  a profesionales de la Seguridad  Ahora con emagister com  puedes especializarte con este Master Universitario en Seguridad de Tecnologias de la Informacion y las Comunicaciones de la Universidad Europea que te permitira podras cubrir esas necesidades    Gracias a estos estudios de formaras tecnicamente en Seguridad TIC  tendras un conocimiento general a nivel tactico y estrategico y estaras preparado para desempe ar funciones de investigacion  desarrollando asi un perfil investigador propio  dentro del area de la Seguridad TIC   Si deseas mayor informacion acerca de los temas que abordaras en este curso por favor ve a la pesta a llamada Temario donde podras hacerte una mejor idea del conocimiento que recibiras      No lo pienses mas y pide mas informacion mediante esta pagina web  haciendo clic en  pide informacion   y nuestros profesionales te asesoraran sin ningun compromiso","['Módulo I. Sistemas de gestión de seguridad', 'Módulo II. Análisis de riesgos', 'Módulo III. Criptografía aplicada y control de accesos', 'Módulo IV. La seguridad en el software de base y en las aplicaciones', 'Módulo V. La seguridad física y del entorno', 'Módulo VI. La seguridad en las comunicaciones', 'Módulo VII. La seguridad de las operaciones', 'Módulo VIII. Auditoría y cumplimiento del marco jurídico', 'Módulo IX. Doble itinerario alternativo de Investigación/Práctica Profesional', 'Módulo X. Proyecto de Fin de Máster']","https://www.emagister.com/assets/es/logos/centro/id/1118307/size/l.jpg","['l.jpg']","https://www.emagister.com/master-online-universitario-seguridad-tecnologias-informacion-telecomunicaciones-cursos-3548498.htm",
"Máster en Gestión Integral de Seguridad, Sistemas y Redes Informáticas","SEAS - Estudios Superiores Abiertos","Precio a consultar","Master","A distancia","1500h","Sin Datos",876871851,"Plantea tus dudas y otros usuarios podran responderte","['PROGRAMA']","https://www.emagister.com/assets/es/logos/centro/id/9865/size/l.jpg","['l.jpg']","https://www.emagister.com/disenar-e-instalar-sistemas-redes-seguridad-informatica-cursos-3169519.htm",
"Máster en Ciberseguridad Online","IMMUNE Technology Institute","4000.0","Master","Online","12 Meses","Sí",912669065,"Plantea tus dudas y otros usuarios podran responderte","['1. Fundamentos de redes y sistemas ', '', '2. Bastionado y configuración segura de sistemas y redes', '', '3. Auditorías y pruebas para el paso a producción', '', '4. Hacking ético', '', '5. Gestión de incidentes', '', '6. Análisis Forense', '', '7. Gobierno y cumplimiento', '', '8. Capstone Project', '']","https://www.emagister.com/assets/es/logos/centro/id/1143039/size/l.jpg","['l.jpg']","https://www.emagister.com/master-ciberseguridad-online-cursos-3729772.htm",
"Master Ciberseguridad, Big Data y BI","INESEM Business School","1695.0","Master","Online","1500h","Sin Datos",958912561,"Plantea tus dudas y otros usuarios podran responderte","[]","https://www.emagister.com/assets/es/logos/centro/id/100811/size/l.jpg","['l.jpg']","https://www.emagister.com/master-ciberseguridad-big-data-bi-cursos-3556921.htm",
"Master en Montaje y Reparación de Sistemas Microinformático + Titulación Universitaria","Euroinnova Business School","1299.0","Master","Online","725h","Sin Datos",958912561,"Labora con propiedad en un sector de gran demanda en la sociedad actual a traves del Master en Montaje y Reparacion de Sistemas Microinformatico   Titulacion Universitaria  un novedoso programa formativo que Euroinnova Business School en alianza con Emagister pone a tu disposicion para que continues en total compromiso con la formacion    El programa esta dirigido a todas aquellas personas que quieran especializarse en el ambito de la seguridad electrica  la instalacion de sistemas operativos y reparacion de equipos informaticos y microinformaticos  Mediante un completo temario  te formaras en montaje y verificacion de componentes  estudiaras la aplicacion de medidas de seguridad contra el riesgo electrico y conoceras los componentes internos de un equipo microinformatico asi como su simbologia  Tras ello  aprenderas a realizar el montaje de perifericos basicos  siguiendo un protocolo de puesta en marcha y de verificacion antes de alcanzar la configuracion de la BIOS  Finalmente  seras capaz de realizar la instalacion y configuracion de perifericos microinformaticos    Adiciona habilidades y conocimientos a tu formacion en este campo formativo  solicita mas informacion en Emagister com dando clic al boton  Pedir informacion  ubicado en la pagina de descripcion","[]","https://www.emagister.com/assets/es/logos/centro/id/56241/size/l.jpg","['l.jpg']","https://www.emagister.com/master-montaje-reparacion-sistemas-microinformatico-titulacion-universitaria-cursos-3536751.htm",
"AZ-500T00: Microsoft Azure Security Technologies","Cas Training","5011000.0","Master","Semipresencial","24h","Sin Datos",912669065,"Plantea tus dudas y otros usuarios podran responderte","[]","https://www.emagister.com/assets/es/logos/centro/id/55621/size/l.jpg","['l.jpg']","https://www.emagister.com/az-500t00-microsoft-azure-security-technologies-cursos-3698137.htm",
"Cursos Máster Propio en Auditoria Forense","CLAUSTRO GÓMEZ INTERNATIONAL POSTGRADUATE AND BUSINESS SCHOOL","200.0","Master","Online","Sin Datos","Sin Datos","Sin Datos","Tiene como fin Reconocer y ejercer  conceptos  tecnicas y herramientas en la ejecucion de la Auditoria Forense  con el objetivo de identificar  averiguar y prevenir delitos economicos y financieros  Aportando un nivel de estabilidad a los procesos administrativos de una entidad   Ademas  tiene como fin la formacion de un profesional preparado para manejar los conceptos  procedimientos y tacticas inherentes al area de la Auditoria Forense y sus repercusiones en el proceso Penal","[]","https://www.emagister.com/assets/es/logos/centro/id/192507/size/l.jpg","['l.jpg']","https://www.emagister.com/cursos-master-propio-auditoria-forense-cursos-3624381.htm",
"Diplomado en auditoria","CLAUSTRO GÓMEZ INTERNATIONAL POSTGRADUATE AND BUSINESS SCHOOL","75.0","Diploma de Especialización","Online","Sin Datos","Sin Datos","Sin Datos","Plantea tus dudas y otros usuarios podran responderte","['Modulos']","https://www.emagister.com/assets/es/logos/centro/id/192507/size/l.jpg","['l.jpg']","https://www.emagister.com/diplomado-auditoria-cursos-3624551.htm",
"MÁSTER EN INGENIERÍA DE SOFTWARE Y SISTEMAS INFORMÁTICOS","ESNECA BUSINESS SCHOOL","890.0","Master","Online","Sin Datos","Sin Datos",973975855,"Plantea tus dudas y otros usuarios podran responderte","['PARTE 1. OPERACIÓN DE SISTEMAS INFORMÁTICOS', 'MÓDULO 1. INSTALACIÓN Y CONFIGURACIÓN DE SISTEMAS OPERATIVOS', 'UNIDAD FORMATIVA 1. INSTALACIÓN Y ACTUALIZACIÓN DE SISTEMAS OPERATIVOS', 'UNIDAD FORMATIVA 2. EXPLOTACIÓN DE LAS FUNCIONALIDADES DEL SISTEMA ', 'MICROINFORMATICO', 'MÓDULO 2. MANTEINIMIENTO DEL SUBSISTEMA FÍSICO DE SISTEMAS', 'INFORMÁTICOS', 'UNIDAD FORMATIVA 1. MANTENIMIENTO E INVENTARIO DEL SUBSISTEMA FÍSICO', 'UNIDAD FORMATIVA 2. MONITORIZACIÓN Y GESTIÓN DE INCIDENCIAS DE LOS ', 'SISTEMAS FÍSICOS', 'MÓDULO 3. MANTENIMIENTO DEL SUBSISTEMA LÓGICO DE SISTEMAS', 'INFORMÁTICOS', 'UNIDAD FORMATIVA 1. GESTIÓN Y OPERATIVA DEL SOFTWARE DE UN SISTEMA ', 'INFORMÁTICO', 'UNIDAD FORMATIVA 2. MONITORIZACIÓN Y GESTIÓN DE INCIDENCIAS DEL SOFTWARE', 'MÓDULO 4. MANTENIMIENTO DE LA SEGURIDAD EN SISTEMAS INFORMÁTICOS', 'UNIDAD FORMATIVA 1. MONITORIZACIÓN DE LOS ACCESOS AL SISTEMA INFORMÁTICO', 'UNIDAD FORMATIVA 2. COPIA DE SEGURIDAD Y RESTAURACIÓN DE LA INFORMACIÓN', 'PARTE 2. GESTIÓN DE SISTEMAS INFORMÁTICOS', 'MÓDULO 1. ADMINISTRACIÓN HARDWARE DE UN SISTEMA INFORMÁTICO', 'UNIDAD FORMATIVA 1. DIMENSIONAR, INSTALAR Y OPTIMIZAR EL HARDWARE', 'UNIDAD FORMATIVA 2. GESTIONAR EL CRECIMIENTO Y LAS CONDICIONES ', 'AMBIENTALES', 'MÓDULO 2. ADMINISTRACIÓN SOFTWARE DE UN SISTEMA INFORMÁTICO', 'UNIDAD FORMATIVA 1. INSTALACIÓN Y PARAMETRIZACIÓN DEL SOFTWARE', 'MÓDULO 3. SEGURIDAD EN EQUIPOS INFORMÁTICOS']","https://www.emagister.com/assets/es/logos/centro/id/123469/size/l.jpg","['l.jpg']","https://www.emagister.com/master-ingenieria-software-sistemas-informaticos-cursos-3630420.htm",
"Máster Universitario de Ingeniería informática","UOC - UNIVERSITAT OBERTA DE CATALUNYA","Precio a consultar","Master oficial","Online","Sin Datos","Sin Datos",932933037,"Plantea tus dudas y otros usuarios podran responderte","['Primer semestre', 'S', 'egundo semestre', 'T', 'ercer semestre', 'Complementos de formación']","https://www.emagister.com/assets/es/logos/centro/id/64377/size/l.jpg","['l.jpg']","https://www.emagister.com/master-universitario-ingenieria-informatica-cursos-3319422.htm",
"Máster Universitario en Ingeniería Matemática y Computación","UNIR, la Universidad en Internet","Precio a consultar","Master oficial","Sin Datos","Sin Datos","Sin Datos",941944081,"Plantea tus dudas y otros usuarios podran responderte","[]","https://www.emagister.com/assets/es/logos/centro/id/173258/size/l.jpg","['l.jpg']","https://www.emagister.com/master-universitario-ingenieria-matematica-computacion-cursos-3353444.htm",
"Máster en Inteligencia Artificial para la Transformación de Negocios","THREE POINTS","Precio a consultar","Master","Online","12 Meses","Sin Datos",932933037,"Plantea tus dudas y otros usuarios podran responderte","['Bloque I: Fundamentos de la IA', 'Bloque II: Diseño y desarrollo de Modelos Machine Learning y Redes Neuronales', 'Bloque III: Principales arquitecturas de IA', 'Bloque IV: Implantación de proyectos de IA', 'Bloque V: Implantación de proyectos de IA', 'Proyecto Final de Máster – Think Digital Challenge']","https://www.emagister.com/assets/es/logos/centro/id/1137887/size/l.jpg","['l.jpg']","https://www.emagister.com/master-inteligencia-artificial-para-transformacion-negocios-cursos-3545089.htm",
"Máster en Edición y Postproducción Audiovisual","The Core School","Precio a consultar","Master","Madrid","Sin Datos","Sin Datos",912669065,"Plantea tus dudas y otros usuarios podran responderte","['Plan de estudios']","https://www.emagister.com/assets/es/logos/centro/id/1161222/size/l.jpg","['l.jpg']","https://www.emagister.com/master-edicion-postproduccion-audiovisual-cursos-3683950.htm",
"Máster Universitario en Dirección Estratégica en Tecnologías de la Información","Fundación Universitaria Iberoamericana (FUNIBER)","Precio a consultar","Master oficial","A distancia","Flexible","Sin Datos",900494940,"La innovacion en negocios que exige la moderna gestion empresarial y la inmanente existencia de internet y la sociedad global  demanda empresas  organizaciones  instituciones y actividades cotidianas conectadas al espacio de las TIC para proveer innovaciones organizacionales tecnologicas  comerciales  financieras  entre muchas otras    Esto ha llevado a que hoy en dia se hable de empresas informatizadas que han debido pasar por complejos procesos de cambio que han incluido digitalizar y virtualizar procesos de negocio dando lugar a nuevas formas y modos de trabajo    El programa de Master Universitario en Direccion Estrategica en Tecnologias de la Informacion se enfoca en desarrollar los conceptos y habilidades para formar personas capaces de dar respuestas y soluciones a estas empresas y a esta evolucion","['1a PARTE: FASE PREVIA', '2a PARTE: FASE OFICIAL']","https://www.emagister.com/assets/es/logos/centro/id/1721/size/l.jpg","['l.jpg']","https://www.emagister.com/master-universitario-direccion-estrategica-tecnologias-informacion-cursos-3214756.htm",
"Doctorado Doctrinal en Desarrollo de Excelencia en Informática Aplicada al Desarrollo Científico en Valores.","UNICLAU LAUDE INTERNATIONAL CHRISTIAN UNIVERSITY","750.0","Doctorado","Online","Sin Datos","Sin Datos","Sin Datos","Plantea tus dudas y otros usuarios podran responderte","[]","https://www.emagister.com/assets/es/logos/centro/id/1156483/size/l.jpg","['l.jpg']","https://www.emagister.com/doctorado-doctrinal-desarrollo-excelencia-informatica-aplicada-al-desarrollo-cientifico-valores-cursos-3653537.htm",
"Experto Universitario en Visión Artificial","SEAS - Estudios Superiores Abiertos","Precio a consultar","Master","Online","450h","Sin Datos",876871851,"Necesitas ampliar tus conocimientos en el campo industrial actual    Si es asi  has llegado al lugar indicado para que inicies una formacion de calidad    En esta ocasion  Emagister  en alianza con el centro educativo SEAS   Estudios Superiores Abiertos  traen para ti este novedoso y completo Experto Universitario en Vision Artificial  un programa de vanguardia que se ofrece en la modalidad online    Esta formacion busca brindarte una experiencia de aprendizaje integral  por medio de un espacio virtual en el que encontraras todas las herramientas y recursos necesarios para que logres llevar a cabo un proceso academico exitoso y comodo que te permita integrar  sin ningun inconveniente  tus estudios con el resto de actividades cotidianas    Durante este curso profundizaras en diferentes conceptos fundamentales sobre el panorama actual de los sistemas con automatas programables y los metodos para realizar su configuracion  manejo del robot industrial y aspectos que influyen en la vision artificial     No lo pienses mas y toma la decision ahora    Comunicate con uno de los profesionales del equipo de Emagister y conoce todos los detalles acerca de este nuevo curso","[]","https://www.emagister.com/assets/es/logos/centro/id/9865/size/l.jpg","['l.jpg']","https://www.emagister.com/experto-universitario-vision-artificial-cursos-3169824.htm",
"Máster en Ingeniería Biomédica","Universidad Internacional de Valencia (VIU)","Precio a consultar","Master oficial","A distancia","Sin Datos","Sin Datos",962642879,"Especializate en el area de ingenieria biomedica para aprender a integrar los principios de la ingenieria y mecanica con las ciencias de la salud  Con el Master en Ingenieria Biomedica que ofrece la Universidad Internacional de Valencia  podras desarrollar tus conocimientos sobre los sistemas moleculares y desarrollar materiales y dispositivos para la prevencion  el diagnostico y el tratamiento de distintas enfermedades  entre otras aplicaciones     Como parte del programa  adquiriras las competencias y habilidades de investigacion para dise ar y desarrollar productos y procesos innovadores en el sector salud  Para ello  estudiaras las areas de nanomedicina  medicina espacial  ingenieria molecular y celular  robotica aplicada a la cirugia y los implementos tecnologicos utilizados para desarrollar sistemas neuromusculares      No dejes pasar esta oportunidad para especializarte en ingenieria biomedica  Pide mas informacion a traves de la pagina de Emagister y un representante del centro se pondra en contacto contigo para ayudarte a tramitar tu inscripcion","[]","https://www.emagister.com/assets/es/logos/centro/id/124268/size/l.jpg","['l.jpg']","https://www.emagister.com/master-ingenieria-biomedica-cursos-3605749.htm",
"Master SIG + BIM en Ingeniería Civil e Infraestructuras","INESEM Business School","1695.0","Master","Online","1500h","Sin Datos",958912561,"Plantea tus dudas y otros usuarios podran responderte","[]","https://www.emagister.com/assets/es/logos/centro/id/100811/size/l.jpg","['l.jpg']","https://www.emagister.com/master-sig-bim-ingenieria-civil-e-infraestructuras-cursos-3556954.htm",
"Cursos Máster Propio en Arquitectura","CLAUSTRO GÓMEZ INTERNATIONAL POSTGRADUATE AND BUSINESS SCHOOL","300.0","Master","Online","Sin Datos","Sin Datos","Sin Datos","es dar conocimientos complementarios y avanzados a la formacion recibida en el nivel en Estudios de Arquitectura  abarcando y profundizando en el plan  la tecnologia y el urbanismo  y proporcionando una formacion solida y multidisciplinaria en su disciplina","['Programa de Estudios a Desarrollar']","https://www.emagister.com/assets/es/logos/centro/id/192507/size/l.jpg","['l.jpg']","https://www.emagister.com/cursos-master-propio-arquitectura-cursos-3624375.htm",
"Máster universitario en industria 4.0","UNIR, la Universidad en Internet","Precio a consultar","Master oficial","Online","Sin Datos","Sin Datos",941944081,"Plantea tus dudas y otros usuarios podran responderte","['TEMRIO:', 'Primer cuatrimestre', 'Segundo cuatrimestre']","https://www.emagister.com/assets/es/logos/centro/id/173258/size/l.jpg","['l.jpg']","https://www.emagister.com/master-universitario-industria-4-0-cursos-3625096.htm",
"MÁSTER EN INTELIGENCIA ARTIFICIAL","Grupo Atrium","3057.0","Master","Online","Flexible","Sin Datos",912669065,"Plantea tus dudas y otros usuarios podran responderte","['1) Módulo 1: Nociones teóricas iniciales ', '2) Módulo 2: Herramientas básicas ', '', '3) Módulo 3: Algoritmos de Machine Learning y su implementación', '4) Módulo 4: Deep Learning ', '', '5) Módulo 5: Procesamiento de Lenguaje Natural ', '6) Módulo 6: TFM (Opcional) ']","https://www.emagister.com/assets/es/logos/centro/id/55705/size/l.jpg","['l.jpg']","https://www.emagister.com/master-inteligencia-artificial-cursos-3632423.htm",
"Máster Universitario en Inteligencia Artificial","Universidad Internacional de Valencia (VIU)","Precio a consultar","Master oficial","Online","Sin Datos","Sin Datos",962642879,"Plantea tus dudas y otros usuarios podran responderte","['Temario']","https://www.emagister.com/assets/es/logos/centro/id/124268/size/l.jpg","['l.jpg']","https://www.emagister.com/master-universitario-inteligencia-artificial-cursos-3432794.htm",
"Máster en seguridad informática","ESCUELA DE POSTGRADO DE CIENCIAS DEL DERECHO","620.0","Master","Online","750h","Sin Datos",977973104,"Plantea tus dudas y otros usuarios podran responderte","['PARTE 1. SEGURIDAD EN EQUIPOS INFORMÁTICOS', 'PARTE 2. AUDITORÍA DE SEGURIDAD INFORMÁTICA', 'PARTE 3. GESTIÓN DE INCIDENTES DE SEGURIDAD INFORMÁTICA', 'PARTE 4. SISTEMAS SEGUROS DE ACCESO Y TRANSMISIÓN DE DATOS', 'PARTE 5. GESTIÓN DE SERVICIOS EN EL SISTEMA INFORMÁTICO']","https://www.emagister.com/assets/es/logos/centro/id/1156916/size/l.jpg","['l.jpg']","https://www.emagister.com/master-seguridad-informatica-cursos-3677191.htm",
"Master en Gestión y Desarrollo de Aplicaciones Multiplataforma (DAM)","INESEM Business School","1695.0","Master","Online","1500h","Sin Datos",958912561,"Plantea tus dudas y otros usuarios podran responderte","[]","https://www.emagister.com/assets/es/logos/centro/id/100811/size/l.jpg","['l.jpg']","https://www.emagister.com/master-gestion-desarrollo-aplicaciones-multiplataforma-dam-cursos-3374598.htm",
"MÁSTER EN INFORMÁTICA FORENSE","ESNECA BUSINESS SCHOOL","380.0","Master","Online","Sin Datos","Sin Datos",973975855,"Plantea tus dudas y otros usuarios podran responderte","[]","https://www.emagister.com/assets/es/logos/centro/id/123469/size/l.jpg","['l.jpg']","https://www.emagister.com/master-informatica-forense-cursos-3697096.htm",
"Master en Ingeniería Mecatrónica","Euroinnova Business School","999.0","Master","Online","600h","Sin Datos",958912561,"Emagister com y Euroinnova Business School  han desarrollado este excelente master online  para que fortalezcas tus competencias es esta disciplina que integra conocimientos de la mecanica  la electronica  la robotica  las telecomunicaciones y la informatica  con el fin de lograr un adecuado automatismo y control en los procesos industriales y solucion a los problemas globales que enfrentan las fabricas dinamicas del mundo actual    El temario se soporta en 6 partes con sus unidades formativas didacticas donde el alumno aprendera sobre  mecatronica  sensores  acondicionamiento  modelos de sistemas  inteligencia artificial  automatizacion industrial  sistemas de actuacion  microprocesadores  controladores  leguaje entre otros   Inscribete ahora mismo en Emagister com y empieza a tomar tus clases en directo online","['PARTE 1. MECATRÓNICA. SENSORES Y ACONDICIONAMIENTO DE SEÑALES', 'PARTE 2. MODELOS DE SISTEMAS EN MECATRÓNICA ', 'PARTE 3. INTELIGENCIA ARTIFICIAL Y MECATRÓNICA', 'PARTE 4. AUTOMATIZACIÓN INDUSTRIAL APLICADA A LA MECATRÓNICA ', 'PARTE 5. SISTEMAS DE ACTUACIÓN APLICADOS A LA MECATRÓNICA ', 'PARTE 6. SISTEMAS DE MICROPROCESADORES EN MECATRÓNICA']","https://www.emagister.com/assets/es/logos/centro/id/56241/size/l.jpg","['l.jpg']","https://www.emagister.com/master-ingenieria-mecatronica-cursos-3519754.htm",
"Máster en realidad aumentada, mundos virtuales y gamificación","Implika Online","Precio a consultar","Master","Online","Fechas a elegir","Sin Datos",912669065,"Plantea tus dudas y otros usuarios podran responderte","['TEMARIO:DURANTE EL MASTER APRENDERÁS A:', 'SALIDAS LABORALES DEL MASTER:']","https://www.emagister.com/assets/es/logos/centro/id/125314/size/l.jpg","['l.jpg']","https://www.emagister.com/master-realidad-aumentada-mundos-virtuales-gamificacion-cursos-3450311.htm",
"Máster Oficial en Industria 4.0: Transformación Industrial Digital","Universidad Internacional de Valencia (VIU)","Precio a consultar","Master oficial","Online","Sin Datos","Sin Datos",960969178,"Plantea tus dudas y otros usuarios podran responderte","['PLAN DE ESTUDIOS']","https://www.emagister.com/assets/es/logos/centro/id/124268/size/l.jpg","['l.jpg']","https://www.emagister.com/master-oficial-industria-4-0-transformacion-industrial-digital-cursos-3625275.htm",
"Máster en sistemas microinformáticos","SELECT BUSINESS SCHOOL","1940.0","Master","Online","1500h","Sí",916358357,"Documentos","['MÓDULO 1. INSTALACIÓN Y CONFIGURACIÓN DE SISTEMAS OPERATIVOS', 'UNIDAD FORMATIVA 1. INSTALACIÓN Y ACTUALIZACIÓN DE SISTEMAS OPERATIVOS', 'UNIDAD FORMATIVA 2. EXPLOTACIÓN DE LAS FUNCIONALIDADES DEL SISTEMA ', 'MICROINFORMÁTICO', 'MÓDULO 2. IMPLANTACIÓN DE LOS ELEMENTOS DE LA RED LOCAL', 'UNIDAD FORMATIVA 1. INSTALACIÓN Y CONFIGURACIÓN DE LOS NODOS DE UNA RED DE AREA LOCAL', 'UNIDAD FORMATIVA 2. VERIFICACION Y RESOLUCIÓN DE INCIDENCIAS EN UNA RED DE AREA LOCAL', 'MÓDULO 3. INSTALACIÓN Y CONFIGURACIÓN DE APLICACIONES INFORMÁTICAS', 'MÓDULO 4. APLICACIONES MICROINFORMÁTICAS', 'UNIDAD FORMATIVA 1. ASISTENCIA DE USUARIOS EN EL USO DE APLICACIONES OFIMÁTICAS Y DE CORREO ELECTRÓNICO', 'UNIDAD FORMATIVA 2. ELABORACIÓN DE DOCUMENTOS DE TEXTO', 'UNIDAD FORMATIVA 3. ELABORACIÓN DE HOJAS DE CÁLCULO', 'UNIDAD FORMATIVA 4. ELABORACIÓN DE PRESENTACIONES', 'UNIDAD FORMATIVA 5. ELABORACIÓN Y MODIFICACIÓN DE IMÁGENES U OTROS ELEMENTOS GRÁFICOS']","https://www.emagister.com/assets/es/logos/centro/id/192308/size/l.png","['l.png']","https://www.emagister.com/master-sistemas-microinformaticos-cursos-3546019.htm",
"Máster de Excelencia en Ciencias Forenses","UNICLAU LAUDE INTERNATIONAL CHRISTIAN UNIVERSITY","500.0","Master","Online","Sin Datos","Sin Datos","Sin Datos","Plantea tus dudas y otros usuarios podran responderte","[]","https://www.emagister.com/assets/es/logos/centro/id/1156483/size/l.jpg","['l.jpg']","https://www.emagister.com/master-excelencia-ciencias-forenses-cursos-3653556.htm",
"Máster de Excelencia en Computación","UNICLAU LAUDE INTERNATIONAL CHRISTIAN UNIVERSITY","500.0","Master","Online","Sin Datos","Sin Datos","Sin Datos","Plantea tus dudas y otros usuarios podran responderte","[]","https://www.emagister.com/assets/es/logos/centro/id/1156483/size/l.jpg","['l.jpg']","https://www.emagister.com/master-excelencia-computacion-cursos-3653552.htm",
"MÁSTER EN OFIMÁTICA","SELECT BUSINESS SCHOOL","1940.0","Master","A distancia","1500h","Sí",916358357,"Documentos","['MÓDULO 1. OFIMÁTICA', 'UNIDAD FORMATIVA 1. SISTEMA OPERATIVO, BÚSQUEDA DE LA INFORMACIÓN: INTERNET/INTRANET Y CORREO ELECTRÓNICO', 'UNIDAD FORMATIVA 2. APLICACIONES INFORMÁTICAS DE TRATAMIENTO DE TEXTOS', 'UNIDAD FORMATIVA 3. APLICACIONES INFORMATICAS DE HOJAS DE CÁLCULO', 'UNIDAD FORMATIVA 4. APLICACIONES INFORMÁTICAS DE BASES DE DATOS RELACIONALES', 'UNIDAD FORMATIVA 5. APLICACIONES INFORMÁTICAS PARA PRESENTACIONES: GRÁFICAS DE INFORMACIÓN', 'MÓDULO 2. CDROMS DE CURSO MULTIMEDIA DE OFFICE 2010']","https://www.emagister.com/assets/es/logos/centro/id/192308/size/l.png","['l.png']","https://www.emagister.com/master-ofimatica-cursos-3572076.htm",
"MÁSTER EN BIOINFORMÁTICA_","ESNECA BUSINESS SCHOOL","890.0","Master","Online","Sin Datos","Sin Datos",973975855,"Plantea tus dudas y otros usuarios podran responderte","[]","https://www.emagister.com/assets/es/logos/centro/id/123469/size/l.jpg","['l.jpg']","https://www.emagister.com/master-bioinformatica-cursos-3697093.htm",
"Máster en creación y gestión de repositorios de contenidos","EDUCA BUSINESS SCHOOL","1200.0","Master","A distancia","710h","Sin Datos",911227348,"Plantea tus dudas y otros usuarios podran responderte","['TEMARIO:', 'Parte 1. Modelos de datos y visión conceptual de una base de datos.', 'Parte 2. Implementación y uso de una base de datos.', 'Parte 3. Herramientas de los sistemas gestores de bases de datos, pasarelas y medios de conexión.', 'Parte 4. Repositorios de contenidos.', 'Parte 5. Lenguaje xml.', 'Parte 6. Desarrollo de un gestor de contenidos (cms).', 'Parte 7. Formación e-learning.']","https://www.emagister.com/assets/es/logos/centro/id/160194/size/l.jpg","['l.jpg']","https://www.emagister.com/master-creacion-gestion-repositorios-contenidos-cursos-3670054.htm",
"Master WordPress & WooCommerce (Incluye Divi + Elementor)","PixelPro","164.0","Master","Online","Sin Datos","Sin Datos",912669065,"Plantea tus dudas y otros usuarios podran responderte","['TEMARIO:Módulo 1:', 'Módulo 2: ', 'Módulo 3:', 'Módulo 4:', 'Módulo 5:', 'Módulo 6:', 'Módulo 7: ']","https://www.emagister.com/assets/es/logos/centro/id/79139/size/l.jpg","['l.jpg']","https://www.emagister.com/master-wordpress-woocommerce-incluye-divi-elementor-cursos-3733645.htm",
"MÁSTER INTERUNIVERSITARIO EN SOSTENIBILIDAD Y RSC (UNED-UJI)","UNED","40015000.0","Master","Online","Sin Datos","Sin Datos",912669065,"Plantea tus dudas y otros usuarios podran responderte","[]","https://www.emagister.com/assets/es/logos/centro/id/123144/size/l.jpg","['l.jpg']","https://www.emagister.com/master-interuniversitario-sostenibilidad-rsc-uned-uji-cursos-3629648.htm",
"DOBLE TITULACIÓN MÁSTER EXPERTO EN WORDPRESS + MÁSTER EXPERTO EN BLOG","ELBS - ESCUELA DE LIDERAZGO","395.0","Master","A distancia","600h","Sin Datos",932933037,"Plantea tus dudas y otros usuarios podran responderte","['PARTE 1. WORDPRESS', 'UNIDAD DIDÁCTICA 1. INTRODUCCIÓN A WORDPRESS', 'UNIDAD DIDÁCTICA 2. PLATAFORMA WORDPRESS.COM', 'UNIDAD DIDÁCTICA 3. INSTALAR WORDPRESS.ORG', 'UNIDAD DIDÁCTICA 4. AJUSTES DE CONFIGURACIÓN', 'UNIDAD DIDÁCTICA 5. AÑADIR CONTENIDO I', 'UNIDAD DIDÁCTICA 6. AÑADIR CONTENIDO II', 'UNIDAD DIDÁCTICA 7. OTRAS POSIBILIDADES DE WORDPRESS', 'UNIDAD DIDÁCTICA 8. PLANTILLAS', 'UNIDAD DIDÁCTICA 9. PLUGINS', 'UNIDAD DIDÁCTICA 10. SEO', 'PARTE 2. GESTIÓN DE CONTENIDOS WEB', 'UNIDAD DIDÁCTICA 1. MARKETING DIGITAL Y COMUNICACIÓN EN LA', 'WEB.', 'UNIDAD DIDÁCTICA 2. GESTIÓN Y MANTENIMIENTO DE PÁGINAS WEB', 'COMERCIALES.']","https://www.emagister.com/assets/es/logos/centro/id/1118013/size/l.jpg","['l.jpg']","https://www.emagister.com/doble-titulacion-master-experto-wordpress-master-experto-blog-cursos-3674162.htm",
